日付,証券コード,会社名,株価,配当利回り(%),分割調整
2026-07-31,1870,矢作建設工業,1908.0,5.24,
2026-07-31,1928,積水ハウス,3488.0,4.15,
2026-07-31,2379,ディップ,1860.0,5.21,
2026-07-31,3431,宮地エンジニアリンググループ,1585.0,4.73,
2026-07-31,3861,王子ホールディングス,879.0,4.09,
2026-07-31,4042,東ソー,2710.0,3.68,
2026-07-31,4208,ＵＢＥ,3183.0,5.02,
2026-07-31,4502,武田薬品工業,5513.0,3.7,
2026-07-31,4503,アステラス製薬,2202.0,3.63,
2026-07-31,4521,科研製薬,3795.0,5.0,
2026-07-31,4671,ファルコホールディングス,2651.0,4.82,
2026-07-31,4928,ノエビアホールディングス,4970.0,4.62,
2026-07-31,5201,ＡＧＣ,6079.0,3.45,
2026-07-31,5406,神戸製鋼所,2077.0,3.85,
2026-07-31,5411,ＪＦＥホールディングス,1817.0,4.4,
2026-07-31,5938,ＬＩＸＩＬ,1735.0,5.18,
2026-07-31,6652,ＩＤＥＣ,3535.0,3.67,
2026-07-31,6724,セイコーエプソン,2950.0,2.71,
2026-07-31,7261,マツダ,1176.0,4.67,
2026-07-31,7267,ホンダ,1625.0,4.3,
2026-07-31,7313,テイ・エステック,1838.0,5.0,
2026-07-31,7762,シチズン時計,2133.0,2.34,
2026-07-31,7956,ピジョン,2020.0,3.76,
2026-07-31,8097,三愛オブリ,2325.0,4.3,
2026-07-31,8130,サンゲツ,3095.0,5.0,
2026-07-31,8252,丸井グループ,2967.0,4.51,
2026-07-31,8309,三井住友トラストグループ,1654.0,2.87,
2026-07-31,8593,三菱ＨＣキャピタル,1473.0,3.46,
2026-07-31,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4924.0,3.45,
2026-07-31,8771,イー・ギャランティ,1842.0,4.56,
2026-07-31,9104,商船三井,5894.0,3.47,
2026-07-31,9107,川崎汽船,2850.0,4.21,
2026-07-31,9364,上組,5179.0,3.95,
2026-08-07,1870,矢作建設工業,1992.0,5.02,
2026-08-07,1928,積水ハウス,3427.0,4.23,
2026-08-07,2379,ディップ,1835.0,5.28,
2026-08-07,3431,宮地エンジニアリンググループ,1586.0,4.72,
2026-08-07,3861,王子ホールディングス,885.0,4.06,
2026-08-07,4042,東ソー,2722.0,3.67,
2026-08-07,4208,ＵＢＥ,3350.0,4.77,
2026-08-07,4502,武田薬品工業,5540.0,3.68,
2026-08-07,4503,アステラス製薬,2327.0,3.43,
2026-08-07,4521,科研製薬,3900.0,4.87,
2026-08-07,4671,ファルコホールディングス,2690.0,4.75,
2026-08-07,4928,ノエビアホールディングス,4790.0,4.8,
2026-08-07,5201,ＡＧＣ,5811.0,3.61,
2026-08-07,5406,神戸製鋼所,2040.0,3.92,
2026-08-07,5411,ＪＦＥホールディングス,1865.0,4.28,
2026-08-07,5938,ＬＩＸＩＬ,1815.0,4.95,
2026-08-07,6652,ＩＤＥＣ,3700.0,3.51,
2026-08-07,6724,セイコーエプソン,3175.0,2.51,
2026-08-07,7261,マツダ,1168.0,4.7,
2026-08-07,7267,ホンダ,1683.0,4.15,
