日付,指数名,指数値,データ日付,前日比(%),記録日
2026-07-31,高配当候補の平均利回り(%),3.440820895522388,,,2026-08-06
2026-08-05,日経平均株価,66300.44,08.05(*大引),3.66,2026-08-06
2026-08-05,日経平均高配当株50指数,103020.9,08.05(終値),1.17,2026-08-06
2026-08-05,日経累進高配当株指数,65605.08,08.05(終値),0.36,2026-08-06
2026-08-05,日経連続増配株指数,55576.04,08.05(終値),0.34,2026-08-06
2026-08-07,日経平均株価,65606.71,08.07(*大引),-0.12,2026-08-07
2026-08-07,日経平均高配当株50指数,105878.2,08.07(終値),1.16,2026-08-07
2026-08-07,日経累進高配当株指数,67375.71,08.07(終値),1.13,2026-08-07
2026-08-07,日経連続増配株指数,56915.3,08.07(終値),0.26,2026-08-07
2026-08-07,高配当候補の平均利回り(%),3.410970149253731,,,2026-08-07
2026-08-14,日経平均株価,68713.8,08.14(*大引),0.59,2026-08-14
2026-08-14,日経平均高配当株50指数,106690.04,08.14(終値),0.72,2026-08-14
2026-08-14,日経累進高配当株指数,67526.61,08.14(終値),-0.07,2026-08-14
2026-08-14,日経連続増配株指数,57270.71,08.14(終値),0.47,2026-08-14
2026-08-14,高配当候補の平均利回り(%),3.385671641791045,,,2026-08-14
2026-08-21,日経平均株価,66016.36,08.21(*大引),-0.3,2026-08-21
2026-08-21,日経平均高配当株50指数,107407.67,08.21(終値),1.13,2026-08-21
2026-08-21,日経累進高配当株指数,67519.08,08.21(終値),0.84,2026-08-21
2026-08-21,日経連続増配株指数,56591.16,08.21(終値),0.42,2026-08-21
2026-08-21,高配当候補の平均利回り(%),3.386641791044776,,,2026-08-21
2026-08-28,日経平均株価,66405.56,08.28(*大引),0.41,2026-08-28
2026-08-28,日経平均高配当株50指数,108338.68,08.28(終値),0.84,2026-08-28
2026-08-28,日経累進高配当株指数,68168.32,08.28(終値),0.35,2026-08-28
2026-08-28,日経連続増配株指数,57262.21,08.28(終値),0.32,2026-08-28
2026-08-28,高配当候補の平均利回り(%),3.355820895522388,,,2026-08-28
2026-09-04,日経平均株価,65020.94,09.04(*大引),1.26,2026-09-04
2026-09-04,日経平均高配当株50指数,108294.83,09.04(終値),-1.04,2026-09-04
2026-09-04,日経累進高配当株指数,67934.4,09.04(終値),-0.86,2026-09-04
2026-09-04,日経連続増配株指数,56739.85,09.04(終値),-0.45,2026-09-04
2026-09-04,高配当候補の平均利回り(%),3.3785074626865668,,,2026-09-04
2026-09-11,日経平均株価,64011.34,09.11(*大引),-1.93,2026-09-11
2026-09-11,日経平均高配当株50指数,106777.05,09.11(終値),0.66,2026-09-11
2026-09-11,日経累進高配当株指数,66972.9,09.11(終値),0.27,2026-09-11
2026-09-11,日経連続増配株指数,55560.97,09.11(終値),-0.13,2026-09-11
2026-09-11,高配当候補の平均利回り(%),3.4464925373134325,,,2026-09-11
2026-09-18,日経平均株価,65018.95,09.18(*大引),1.38,2026-09-18
2026-09-18,日経平均高配当株50指数,108378.05,09.18(終値),-0.96,2026-09-18
2026-09-18,日経累進高配当株指数,67966.55,09.18(終値),-1.34,2026-09-18
2026-09-18,日経連続増配株指数,56015.15,09.18(終値),-1.16,2026-09-18
2026-09-18,高配当候補の平均利回り(%),3.3822388059701494,,,2026-09-18
